"АРМ ""Ресурс"", Версия 4.9.5 build 17058 сборка от 2025-04-16";;;
;;;
Экспорт истории расхода счётчиков;;;
;;;
Выбранная начальная дата:;01.01.2025;;
;;;
Выбранная конечная дата:;22.12.2025;;
;;;
Время начала экспорта данных:;22.12.2025 18:54:54;;
;;;
;;;
;;;
Устройство;Счётчик электроэнергии;;
ID;1057;;
Серийный номер;012967198715219;;
Абонент;Абонент (единый счёт)_1;;
Адрес;г. Астрахань, ул. Адмирала Нахимова, д. 141Б, п. 1, кв. 1;;
Дом;ЖК Семейный;;
Подъезд;Подъезд_01;;
Квартира;Квартира_001;;
Время;Тариф;Значение расхода;
10.06.2025 00:00:00;1;225,728;
10.06.2025 00:00:00;2;94,013;
10.06.2025 00:00:00;3;0,000;
10.06.2025 00:00:00;4;0,000;
11.06.2025 00:00:00;1;226,002;
11.06.2025 00:00:00;2;94,013;
11.06.2025 00:00:00;3;0,000;
11.06.2025 00:00:00;4;0,000;
12.06.2025 00:00:00;1;226,708;
12.06.2025 00:00:00;2;94,013;
12.06.2025 00:00:00;3;0,000;
12.06.2025 00:00:00;4;0,000;
13.06.2025 00:00:00;1;227,338;
13.06.2025 00:00:00;2;94,013;
13.06.2025 00:00:00;3;0,000;
13.06.2025 00:00:00;4;0,000;
14.06.2025 00:00:00;1;227,747;
14.06.2025 00:00:00;2;94,013;
14.06.2025 00:00:00;3;0,000;
14.06.2025 00:00:00;4;0,000;
15.06.2025 00:00:00;1;228,297;
15.06.2025 00:00:00;2;94,013;
15.06.2025 00:00:00;3;0,000;
15.06.2025 00:00:00;4;0,000;
16.06.2025 00:00:00;1;228,297;
16.06.2025 00:00:00;2;94,013;
16.06.2025 00:00:00;3;0,000;
16.06.2025 00:00:00;4;0,000;
17.06.2025 00:00:00;1;228,416;
17.06.2025 00:00:00;2;94,013;
17.06.2025 00:00:00;3;0,000;
17.06.2025 00:00:00;4;0,000;
18.06.2025 00:00:00;1;228,417;
18.06.2025 00:00:00;2;94,013;
18.06.2025 00:00:00;3;0,000;
18.06.2025 00:00:00;4;0,000;
19.06.2025 00:00:00;1;229,232;
19.06.2025 00:00:00;2;94,013;
19.06.2025 00:00:00;3;0,000;
19.06.2025 00:00:00;4;0,000;
20.06.2025 00:00:00;1;229,705;
20.06.2025 00:00:00;2;94,013;
20.06.2025 00:00:00;3;0,000;
20.06.2025 00:00:00;4;0,000;
21.06.2025 00:00:00;1;229,928;
21.06.2025 00:00:00;2;94,013;
21.06.2025 00:00:00;3;0,000;
21.06.2025 00:00:00;4;0,000;
22.06.2025 00:00:00;1;229,928;
22.06.2025 00:00:00;2;94,013;
22.06.2025 00:00:00;3;0,000;
22.06.2025 00:00:00;4;0,000;
23.06.2025 00:00:00;1;229,928;
23.06.2025 00:00:00;2;94,013;
23.06.2025 00:00:00;3;0,000;
23.06.2025 00:00:00;4;0,000;
24.06.2025 00:00:00;1;230,218;
24.06.2025 00:00:00;2;94,013;
24.06.2025 00:00:00;3;0,000;
24.06.2025 00:00:00;4;0,000;
25.06.2025 00:00:00;1;230,546;
25.06.2025 00:00:00;2;94,013;
25.06.2025 00:00:00;3;0,000;
25.06.2025 00:00:00;4;0,000;
26.06.2025 00:00:00;1;230,546;
26.06.2025 00:00:00;2;94,013;
26.06.2025 00:00:00;3;0,000;
26.06.2025 00:00:00;4;0,000;
27.06.2025 00:00:00;1;230,610;
27.06.2025 00:00:00;2;94,013;
27.06.2025 00:00:00;3;0,000;
27.06.2025 00:00:00;4;0,000;
28.06.2025 00:00:00;1;230,610;
28.06.2025 00:00:00;2;94,013;
28.06.2025 00:00:00;3;0,000;
28.06.2025 00:00:00;4;0,000;
29.06.2025 00:00:00;1;230,683;
29.06.2025 00:00:00;2;94,013;
29.06.2025 00:00:00;3;0,000;
29.06.2025 00:00:00;4;0,000;
30.06.2025 00:00:00;1;230,683;
30.06.2025 00:00:00;2;94,013;
30.06.2025 00:00:00;3;0,000;
30.06.2025 00:00:00;4;0,000;
01.07.2025 00:00:00;1;230,941;
01.07.2025 00:00:00;2;94,013;
01.07.2025 00:00:00;3;0,000;
01.07.2025 00:00:00;4;0,000;
02.07.2025 00:00:00;1;231,077;
02.07.2025 00:00:00;2;94,013;
02.07.2025 00:00:00;3;0,000;
02.07.2025 00:00:00;4;0,000;
03.07.2025 00:00:00;1;231,224;
03.07.2025 00:00:00;2;94,013;
03.07.2025 00:00:00;3;0,000;
03.07.2025 00:00:00;4;0,000;
04.07.2025 00:00:00;1;231,464;
04.07.2025 00:00:00;2;94,013;
04.07.2025 00:00:00;3;0,000;
04.07.2025 00:00:00;4;0,000;
05.07.2025 00:00:00;1;231,811;
05.07.2025 00:00:00;2;94,013;
05.07.2025 00:00:00;3;0,000;
05.07.2025 00:00:00;4;0,000;
06.07.2025 00:00:00;1;231,911;
06.07.2025 00:00:00;2;94,013;
06.07.2025 00:00:00;3;0,000;
06.07.2025 00:00:00;4;0,000;
07.07.2025 00:00:00;1;231,911;
07.07.2025 00:00:00;2;94,013;
07.07.2025 00:00:00;3;0,000;
07.07.2025 00:00:00;4;0,000;
08.07.2025 00:00:00;1;232,500;
08.07.2025 00:00:00;2;94,018;
08.07.2025 00:00:00;3;0,000;
08.07.2025 00:00:00;4;0,000;
09.07.2025 00:00:00;1;232,744;
09.07.2025 00:00:00;2;94,161;
09.07.2025 00:00:00;3;0,000;
09.07.2025 00:00:00;4;0,000;
10.07.2025 00:00:00;1;232,958;
10.07.2025 00:00:00;2;94,161;
10.07.2025 00:00:00;3;0,000;
10.07.2025 00:00:00;4;0,000;
11.07.2025 00:00:00;1;233,191;
11.07.2025 00:00:00;2;94,161;
11.07.2025 00:00:00;3;0,000;
11.07.2025 00:00:00;4;0,000;
12.07.2025 00:00:00;1;233,407;
12.07.2025 00:00:00;2;94,161;
12.07.2025 00:00:00;3;0,000;
12.07.2025 00:00:00;4;0,000;
13.07.2025 00:00:00;1;235,117;
13.07.2025 00:00:00;2;94,161;
13.07.2025 00:00:00;3;0,000;
13.07.2025 00:00:00;4;0,000;
14.07.2025 00:00:00;1;235,117;
14.07.2025 00:00:00;2;94,161;
14.07.2025 00:00:00;3;0,000;
14.07.2025 00:00:00;4;0,000;
15.07.2025 00:00:00;1;235,393;
15.07.2025 00:00:00;2;94,161;
15.07.2025 00:00:00;3;0,000;
15.07.2025 00:00:00;4;0,000;
16.07.2025 00:00:00;1;235,395;
16.07.2025 00:00:00;2;94,161;
16.07.2025 00:00:00;3;0,000;
16.07.2025 00:00:00;4;0,000;
17.07.2025 00:00:00;1;235,477;
17.07.2025 00:00:00;2;94,161;
17.07.2025 00:00:00;3;0,000;
17.07.2025 00:00:00;4;0,000;
18.07.2025 00:00:00;1;236,376;
18.07.2025 00:00:00;2;94,169;
18.07.2025 00:00:00;3;0,000;
18.07.2025 00:00:00;4;0,000;
19.07.2025 00:00:00;1;236,552;
19.07.2025 00:00:00;2;94,512;
19.07.2025 00:00:00;3;0,000;
19.07.2025 00:00:00;4;0,000;
20.07.2025 00:00:00;1;237,207;
20.07.2025 00:00:00;2;94,512;
20.07.2025 00:00:00;3;0,000;
20.07.2025 00:00:00;4;0,000;
21.07.2025 00:00:00;1;237,336;
21.07.2025 00:00:00;2;94,512;
21.07.2025 00:00:00;3;0,000;
21.07.2025 00:00:00;4;0,000;
22.07.2025 00:00:00;1;238,421;
22.07.2025 00:00:00;2;94,512;
22.07.2025 00:00:00;3;0,000;
22.07.2025 00:00:00;4;0,000;
23.07.2025 00:00:00;1;239,387;
23.07.2025 00:00:00;2;94,512;
23.07.2025 00:00:00;3;0,000;
23.07.2025 00:00:00;4;0,000;
24.07.2025 00:00:00;1;239,708;
