"АРМ ""Ресурс"", Версия 4.9.5 build 17058 сборка от 2025-04-16";;;
;;;
Экспорт истории расхода счётчиков;;;
;;;
Выбранная начальная дата:;01.01.2025;;
;;;
Выбранная конечная дата:;22.12.2025;;
;;;
Время начала экспорта данных:;22.12.2025 19:01:05;;
;;;
;;;
;;;
Устройство;Счётчик электроэнергии;;
ID;1205;;
Серийный номер;012967194708029;;
Абонент;Абонент (единый счёт)_1;;
Адрес;г. Астрахань, ул. Адмирала Нахимова, д. 141Б, п. 3;;
Дом;ЖК Семейный;;
Подъезд;Подъезд_03;;
Квартира;Квартира_149;;
Время;Тариф;Значение расхода;
10.06.2025 00:00:00;1;1140,983;
10.06.2025 00:00:00;2;613,136;
10.06.2025 00:00:00;3;0,000;
10.06.2025 00:00:00;4;0,000;
11.06.2025 00:00:00;1;1141,007;
11.06.2025 00:00:00;2;613,136;
11.06.2025 00:00:00;3;0,000;
11.06.2025 00:00:00;4;0,000;
12.06.2025 00:00:00;1;1141,066;
12.06.2025 00:00:00;2;613,136;
12.06.2025 00:00:00;3;0,000;
12.06.2025 00:00:00;4;0,000;
13.06.2025 00:00:00;1;1141,102;
13.06.2025 00:00:00;2;613,136;
13.06.2025 00:00:00;3;0,000;
13.06.2025 00:00:00;4;0,000;
14.06.2025 00:00:00;1;1141,398;
14.06.2025 00:00:00;2;613,136;
14.06.2025 00:00:00;3;0,000;
14.06.2025 00:00:00;4;0,000;
15.06.2025 00:00:00;1;1141,747;
15.06.2025 00:00:00;2;613,136;
15.06.2025 00:00:00;3;0,000;
15.06.2025 00:00:00;4;0,000;
16.06.2025 00:00:00;1;1142,609;
16.06.2025 00:00:00;2;613,136;
16.06.2025 00:00:00;3;0,000;
16.06.2025 00:00:00;4;0,000;
17.06.2025 00:00:00;1;1143,170;
17.06.2025 00:00:00;2;613,136;
17.06.2025 00:00:00;3;0,000;
17.06.2025 00:00:00;4;0,000;
18.06.2025 00:00:00;1;1143,542;
18.06.2025 00:00:00;2;613,136;
18.06.2025 00:00:00;3;0,000;
18.06.2025 00:00:00;4;0,000;
19.06.2025 00:00:00;1;1143,679;
19.06.2025 00:00:00;2;613,136;
19.06.2025 00:00:00;3;0,000;
19.06.2025 00:00:00;4;0,000;
20.06.2025 00:00:00;1;1143,679;
20.06.2025 00:00:00;2;613,136;
20.06.2025 00:00:00;3;0,000;
20.06.2025 00:00:00;4;0,000;
21.06.2025 00:00:00;1;1143,679;
21.06.2025 00:00:00;2;613,136;
21.06.2025 00:00:00;3;0,000;
21.06.2025 00:00:00;4;0,000;
22.06.2025 00:00:00;1;1143,679;
22.06.2025 00:00:00;2;613,136;
22.06.2025 00:00:00;3;0,000;
22.06.2025 00:00:00;4;0,000;
23.06.2025 00:00:00;1;1143,679;
23.06.2025 00:00:00;2;613,136;
23.06.2025 00:00:00;3;0,000;
23.06.2025 00:00:00;4;0,000;
24.06.2025 00:00:00;1;1143,679;
24.06.2025 00:00:00;2;613,136;
24.06.2025 00:00:00;3;0,000;
24.06.2025 00:00:00;4;0,000;
25.06.2025 00:00:00;1;1143,679;
25.06.2025 00:00:00;2;613,136;
25.06.2025 00:00:00;3;0,000;
25.06.2025 00:00:00;4;0,000;
26.06.2025 00:00:00;1;1143,679;
26.06.2025 00:00:00;2;613,136;
26.06.2025 00:00:00;3;0,000;
26.06.2025 00:00:00;4;0,000;
27.06.2025 00:00:00;1;1143,679;
27.06.2025 00:00:00;2;613,136;
27.06.2025 00:00:00;3;0,000;
27.06.2025 00:00:00;4;0,000;
28.06.2025 00:00:00;1;1143,679;
28.06.2025 00:00:00;2;613,136;
28.06.2025 00:00:00;3;0,000;
28.06.2025 00:00:00;4;0,000;
29.06.2025 00:00:00;1;1143,679;
29.06.2025 00:00:00;2;613,136;
29.06.2025 00:00:00;3;0,000;
29.06.2025 00:00:00;4;0,000;
30.06.2025 00:00:00;1;1143,679;
30.06.2025 00:00:00;2;613,136;
30.06.2025 00:00:00;3;0,000;
30.06.2025 00:00:00;4;0,000;
01.07.2025 00:00:00;1;1143,697;
01.07.2025 00:00:00;2;613,136;
01.07.2025 00:00:00;3;0,000;
01.07.2025 00:00:00;4;0,000;
02.07.2025 00:00:00;1;1143,697;
02.07.2025 00:00:00;2;613,136;
02.07.2025 00:00:00;3;0,000;
02.07.2025 00:00:00;4;0,000;
03.07.2025 00:00:00;1;1143,697;
03.07.2025 00:00:00;2;613,136;
03.07.2025 00:00:00;3;0,000;
03.07.2025 00:00:00;4;0,000;
04.07.2025 00:00:00;1;1143,697;
04.07.2025 00:00:00;2;613,136;
04.07.2025 00:00:00;3;0,000;
04.07.2025 00:00:00;4;0,000;
05.07.2025 00:00:00;1;1143,697;
05.07.2025 00:00:00;2;613,136;
05.07.2025 00:00:00;3;0,000;
05.07.2025 00:00:00;4;0,000;
06.07.2025 00:00:00;1;1143,697;
06.07.2025 00:00:00;2;613,136;
06.07.2025 00:00:00;3;0,000;
06.07.2025 00:00:00;4;0,000;
07.07.2025 00:00:00;1;1143,697;
07.07.2025 00:00:00;2;613,136;
07.07.2025 00:00:00;3;0,000;
07.07.2025 00:00:00;4;0,000;
08.07.2025 00:00:00;1;1143,697;
08.07.2025 00:00:00;2;613,136;
08.07.2025 00:00:00;3;0,000;
08.07.2025 00:00:00;4;0,000;
09.07.2025 00:00:00;1;1143,726;
09.07.2025 00:00:00;2;613,136;
09.07.2025 00:00:00;3;0,000;
09.07.2025 00:00:00;4;0,000;
10.07.2025 00:00:00;1;1143,726;
10.07.2025 00:00:00;2;613,136;
10.07.2025 00:00:00;3;0,000;
10.07.2025 00:00:00;4;0,000;
11.07.2025 00:00:00;1;1143,726;
11.07.2025 00:00:00;2;613,136;
11.07.2025 00:00:00;3;0,000;
11.07.2025 00:00:00;4;0,000;
12.07.2025 00:00:00;1;1143,726;
12.07.2025 00:00:00;2;613,136;
12.07.2025 00:00:00;3;0,000;
12.07.2025 00:00:00;4;0,000;
13.07.2025 00:00:00;1;1143,726;
13.07.2025 00:00:00;2;613,136;
13.07.2025 00:00:00;3;0,000;
13.07.2025 00:00:00;4;0,000;
14.07.2025 00:00:00;1;1143,726;
14.07.2025 00:00:00;2;613,136;
14.07.2025 00:00:00;3;0,000;
14.07.2025 00:00:00;4;0,000;
15.07.2025 00:00:00;1;1143,726;
15.07.2025 00:00:00;2;613,136;
15.07.2025 00:00:00;3;0,000;
15.07.2025 00:00:00;4;0,000;
16.07.2025 00:00:00;1;1143,726;
16.07.2025 00:00:00;2;613,136;
16.07.2025 00:00:00;3;0,000;
16.07.2025 00:00:00;4;0,000;
17.07.2025 00:00:00;1;1143,726;
17.07.2025 00:00:00;2;613,136;
17.07.2025 00:00:00;3;0,000;
17.07.2025 00:00:00;4;0,000;
18.07.2025 00:00:00;1;1143,726;
18.07.2025 00:00:00;2;613,136;
18.07.2025 00:00:00;3;0,000;
18.07.2025 00:00:00;4;0,000;
19.07.2025 00:00:00;1;1143,726;
19.07.2025 00:00:00;2;613,136;
19.07.2025 00:00:00;3;0,000;
19.07.2025 00:00:00;4;0,000;
20.07.2025 00:00:00;1;1143,726;
20.07.2025 00:00:00;2;613,136;
20.07.2025 00:00:00;3;0,000;
20.07.2025 00:00:00;4;0,000;
21.07.2025 00:00:00;1;1143,726;
21.07.2025 00:00:00;2;613,136;
21.07.2025 00:00:00;3;0,000;
21.07.2025 00:00:00;4;0,000;
22.07.2025 00:00:00;1;1143,726;
22.07.2025 00:00:00;2;613,136;
22.07.2025 00:00:00;3;0,000;
22.07.2025 00:00:00;4;0,000;
23.07.2025 00:00:00;1;1143,726;
23.07.2025 00:00:00;2;613,136;
23.07.2025 00:00:00;3;0,000;
